graph_family,hidden_failure,mean_raw_n64_oracle_regret,n_rows
chain,delayed_damping,0.0006058523903290461,3
chain,long_horizon_drift,0.01112118103924906,3
chain,omitted_edges,0.028475148927153807,3
chain,shifted_rest_lengths,0.01946735116704884,3
chain,topology_aliasing,0.023642644188317907,3
clustered,delayed_damping,0.0005494581090263878,3
clustered,long_horizon_drift,0.013006988509412168,3
clustered,omitted_edges,0.013761015297206613,3
clustered,shifted_rest_lengths,0.009975517788916852,3
clustered,topology_aliasing,0.03278136566069653,3
grid,delayed_damping,0.0,3
grid,long_horizon_drift,0.007260693004807285,3
grid,omitted_edges,0.006633927760107669,3
grid,shifted_rest_lengths,0.0034970498636073682,3
grid,topology_aliasing,0.011877411655090509,3
random_geometric,delayed_damping,0.0022579702741181962,3
random_geometric,long_horizon_drift,0.0031915831663218083,3
random_geometric,omitted_edges,0.020200279973222005,3
random_geometric,shifted_rest_lengths,0.015506357713645095,3
random_geometric,topology_aliasing,0.01059652716006549,3
ring_chord,delayed_damping,0.0029203151282286032,3
ring_chord,long_horizon_drift,0.004245386991982056,3
ring_chord,omitted_edges,0.020502997509562366,3
ring_chord,shifted_rest_lengths,0.01046262384421657,3
ring_chord,topology_aliasing,0.009319865442583992,3
