path,category,bytes
.gitattributes,other,13
.gitignore,other,295
docs/claims.md,doc,4209
docs/final_audit.md,doc,3957
experiments/run_experiments.py,other,27542
experiments/v4_frozen_evidence.py,other,31395
figures/figure10_family_robustness.png,figure,45213
figures/figure1_selected_tail_failure.png,figure,61415
figures/figure2_repair_comparison.png,figure,77572
figures/figure3_exact_law_validation.png,figure,51675
figures/figure4_stress_heatmap.png,figure,66002
figures/figure5_ablation_components.png,figure,73208
figures/figure6_adaptive_gate.png,figure,36721
figures/figure7_learned_model.png,figure,28094
figures/figure8_oracle_gap_closure.png,figure,75186
figures/figure9_hidden_energy_by_n.png,figure,69801
paper/abstract.md,paper,911
paper/iclr/fancyhdr.sty,paper,20513
paper/iclr/iclr2026_conference.bst,paper,26972
paper/iclr/iclr2026_conference.sty,paper,9025
paper/iclr/main.tex,paper,87139
paper/iclr/math_commands.tex,paper,12284
paper/iclr/natbib.sty,paper,45150
paper/iclr/references.bib,paper,6969
paper/iclr/v4_results_macros.tex,paper,1252
paper/paper.md,paper,25937
pyproject.toml,other,566
README.md,other,5836
results/claim_evidence_map.json,json,4075
results/claims_status.json,json,4070
results/claims_status.md,other,3271
results/run_summary.json,json,466
results/tables/ablation_metrics.csv,result_table,3450455
results/tables/adaptive_gate_metrics.csv,result_table,814605
results/tables/exact_law_validation.csv,result_table,15733
results/tables/learned_model_metrics.csv,result_table,685
results/tables/learned_model_predictions.csv,result_table,1125941
results/tables/main_metrics.csv,result_table,4284171
results/tables/repair_metrics.csv,result_table,3839548
results/tables/seed_metrics.csv,result_table,7615118
results/tables/statistical_tests.csv,result_table,1622
results/tables/stress_metrics.csv,result_table,4023091
scripts/build_paper.sh,script,1910
scripts/build_v4_paper.py,script,2412
scripts/run_all.sh,script,1009
scripts/run_bulletproof.sh,script,1015
scripts/run_claim_audit.sh,script,889
scripts/run_smoke.sh,script,1010
scripts/run_v4_claim_audit.py,script,6139
src/graph_constraint_tail_audit/__init__.py,source,258
src/graph_constraint_tail_audit/audit.py,source,14069
src/graph_constraint_tail_audit/graph_physics.py,source,15797
src/graph_constraint_tail_audit/learned_model.py,source,7993
src/graph_constraint_tail_audit/selection.py,source,6149
src/graph_constraint_tail_audit/stats.py,source,2912
src/graph_constraint_tail_audit/theory.py,source,4301
tests/test_artifacts_claims.py,test,1524
tests/test_graph_physics.py,test,2683
tests/test_learned_model.py,test,535
tests/test_theory.py,test,777
